Country,Protection,Impact Func ID,Return Period,PMD
ETH,FLOPROS,0,2,80892.70221746308
ETH,FLOPROS,0,5,133095.31342928487
ETH,FLOPROS,0,10,167657.66843754286
ETH,FLOPROS,0,25,211327.7441518987
ETH,FLOPROS,0,50,243724.35453480252
ETH,FLOPROS,0,100,275882.03681282164
ETH,FLOPROS,1,2,83267.41847014977
ETH,FLOPROS,1,5,130867.1911477791
ETH,FLOPROS,1,10,162382.09439507185
ETH,FLOPROS,1,25,202201.66718202582
ETH,FLOPROS,1,50,231741.7850794756
ETH,FLOPROS,1,100,261064.04177774777
ETH,FLOPROS,2,2,85066.41182754828
ETH,FLOPROS,2,5,129570.58116760572
ETH,FLOPROS,2,10,159035.94438166582
ETH,FLOPROS,2,25,196265.8913051771
ETH,FLOPROS,2,50,223884.8973482715
ETH,FLOPROS,2,100,251300.21057613983
ETH,FLOPROS,3,2,90982.78740415894
ETH,FLOPROS,3,5,137042.03216439456
ETH,FLOPROS,3,10,167536.98120738426
ETH,FLOPROS,3,25,206067.82591673918
ETH,FLOPROS,3,50,234651.90193112526
ETH,FLOPROS,3,100,263025.1676468018
ETH,FLOPROS,4,2,79707.62448077918
ETH,FLOPROS,4,5,123486.98306252767
ETH,FLOPROS,4,10,152472.46287303866
ETH,FLOPROS,4,25,189096.06961625715
ETH,FLOPROS,4,50,216265.26268652937
ETH,FLOPROS,4,100,243234.08035533817
ETH,FLOPROS,5,2,111442.9028711558
ETH,FLOPROS,5,5,179235.78128864468
ETH,FLOPROS,5,10,224120.15539379112
ETH,FLOPROS,5,25,280832.26355583296
ETH,FLOPROS,5,50,322904.09517198004
ETH,FLOPROS,5,100,364665.64299984596
ETH,FLOPROS,6,2,100339.77393650282
ETH,FLOPROS,6,5,164140.1868106978
ETH,FLOPROS,6,10,206381.22549138346
ETH,FLOPROS,6,25,259753.4380329718
ETH,FLOPROS,6,50,299347.5707817494
ETH,FLOPROS,6,100,338649.69300873444
ETH,FLOPROS,7,2,103172.39475360776
ETH,FLOPROS,7,5,158767.4941644604
ETH,FLOPROS,7,10,195575.9510203914
ETH,FLOPROS,7,25,242084.01152272243
ETH,FLOPROS,7,50,276585.9786274699
ETH,FLOPROS,7,100,310833.49041983444
ETH,FLOPROS,8,2,102203.10952634238
ETH,FLOPROS,8,5,166732.32157389686
ETH,FLOPROS,8,10,209455.88431180193
ETH,FLOPROS,8,25,263437.7735408653
ETH,FLOPROS,8,50,303484.1944476223
ETH,FLOPROS,8,100,343235.26916409645
ETH,FLOPROS,9,2,84477.25936206379
ETH,FLOPROS,9,5,138270.87640821014
ETH,FLOPROS,9,10,173886.60608853205
ETH,FLOPROS,9,25,218887.63716381817
ETH,FLOPROS,9,50,252271.61570580493
ETH,FLOPROS,9,100,285409.38420815254
ETH,FLOPROS,10,2,83267.41847014977
ETH,FLOPROS,10,5,130867.1911477791
ETH,FLOPROS,10,10,162382.09439507185
ETH,FLOPROS,10,25,202201.66718202582
ETH,FLOPROS,10,50,231741.7850794756
ETH,FLOPROS,10,100,261064.04177774777
ETH,FLOPROS,11,2,83267.43306109766
ETH,FLOPROS,11,5,130867.19029492591
ETH,FLOPROS,11,10,162382.083317172
ETH,FLOPROS,11,25,202201.64318461972
ETH,FLOPROS,11,50,231741.75149774418
ETH,FLOPROS,11,100,261063.99868237638
ETH,FLOPROS,12,2,70037.9057645597
ETH,FLOPROS,12,5,109679.36376003473
ETH,FLOPROS,12,10,135925.2183730369
ETH,FLOPROS,12,25,169087.26586268077
ETH,FLOPROS,12,50,193688.50399765786
ETH,FLOPROS,12,100,218108.30564480685
ETH,FLOPROS,13,2,87057.27864568573
ETH,FLOPROS,13,5,135105.27592962282
ETH,FLOPROS,13,10,166916.94015509318
ETH,FLOPROS,13,25,207111.4750759349
ETH,FLOPROS,13,50,236929.7583294367
ETH,FLOPROS,13,100,266528.12888761424
ETH,FLOPROS,14,2,99618.27307006186
ETH,FLOPROS,14,5,163849.83040886695
ETH,FLOPROS,14,10,206376.32163109764
ETH,FLOPROS,14,25,260109.20792015333
ETH,FLOPROS,14,50,299970.9061970621
ETH,FLOPROS,14,100,339538.620630778
ETH,FLOPROS,15,2,80892.70221746308
ETH,FLOPROS,15,5,133095.31342928487
ETH,FLOPROS,15,10,167657.66843754286
ETH,FLOPROS,15,25,211327.7441518987
ETH,FLOPROS,15,50,243724.35453480252
ETH,FLOPROS,15,100,275882.03681282164
ETH,FLOPROS,16,2,70854.77969905715
ETH,FLOPROS,16,5,113258.19663749904
ETH,FLOPROS,16,10,141332.69168225492
ETH,FLOPROS,16,25,176805.25493651998
ETH,FLOPROS,16,50,203120.547324565
ETH,FLOPROS,16,100,229241.76191047422
ETH,FLOPROS,17,2,99618.27307006186
ETH,FLOPROS,17,5,163849.83040886695
ETH,FLOPROS,17,10,206376.32163109764
ETH,FLOPROS,17,25,260109.20792015333
ETH,FLOPROS,17,50,299970.9061970621
ETH,FLOPROS,17,100,339538.620630778
ETH,FLOPROS,18,2,79707.62448077918
ETH,FLOPROS,18,5,123486.98306252767
ETH,FLOPROS,18,10,152472.46287303866
ETH,FLOPROS,18,25,189096.06961625715
ETH,FLOPROS,18,50,216265.26268652937
ETH,FLOPROS,18,100,243234.08035533817
ETH,FLOPROS,19,2,97247.08296098835
ETH,FLOPROS,19,5,160965.82761219938
ETH,FLOPROS,19,10,203152.79531731238
ETH,FLOPROS,19,25,256456.6883362107
ETH,FLOPROS,19,50,296000.1383022834
ETH,FLOPROS,19,100,335251.95153694105
ETH,No Protection,0,2,103720.26232230847
ETH,No Protection,0,5,168133.28163262017
ETH,No Protection,0,10,210779.91537136713
ETH,No Protection,0,25,264664.6036077012
ETH,No Protection,0,50,304638.91603654117
ETH,No Protection,0,100,344318.4140820303
ETH,No Protection,1,2,99311.40304636146
ETH,No Protection,1,5,142890.450441822
ETH,No Protection,1,10,171743.30802957644
ETH,No Protection,1,25,208199.34452164156
ETH,No Protection,1,50,235244.22573649383
ETH,No Protection,1,100,262089.64836172436
ETH,No Protection,2,2,74902.95667775693
ETH,No Protection,2,5,118411.68959354768
ETH,No Protection,2,10,147217.99330301612
ETH,No Protection,2,25,183615.2082422946
ETH,No Protection,2,50,210616.45273574046
ETH,No Protection,2,100,237418.56046456497
ETH,No Protection,3,2,101634.78953952654
ETH,No Protection,3,5,165429.26135429103
ETH,No Protection,3,10,207666.3665726384
ETH,No Protection,3,25,261033.60912308778
ETH,No Protection,3,50,300624.0548879547
ETH,No Protection,3,100,339922.51732288866
ETH,No Protection,4,2,73001.0678435219
ETH,No Protection,4,5,111830.19187675076
ETH,No Protection,4,10,137538.2156392139
ETH,No Protection,4,25,170020.70544365526
ETH,No Protection,4,50,194117.8142589532
ETH,No Protection,4,100,218037.2045884469
ETH,No Protection,5,2,110719.71858437509
ETH,No Protection,5,5,176366.24985015817
ETH,No Protection,5,10,219829.56837003492
ETH,No Protection,5,25,274746.150590971
ETH,No Protection,5,50,315485.97273850895
ETH,No Protection,5,100,355925.33479519153
ETH,No Protection,6,2,107701.98963581213
ETH,No Protection,6,5,161980.96821238252
ETH,No Protection,6,10,197918.04652129696
ETH,No Protection,6,25,243325.10661104074
ETH,No Protection,6,50,277010.29744932806
ETH,No Protection,6,100,310447.0567784375
ETH,No Protection,7,2,99878.85356947278
ETH,No Protection,7,5,163822.88708000496
ETH,No Protection,7,10,206159.01424964488
ETH,No Protection,7,25,259651.3725831274
ETH,No Protection,7,50,299334.6353905429
ETH,No Protection,7,100,338725.23033344554
ETH,No Protection,8,2,85878.1033587617
ETH,No Protection,8,5,139451.2905331053
ETH,No Protection,8,10,174921.07779202692
ETH,No Protection,8,25,219737.70833699717
ETH,No Protection,8,50,252984.88949456633
ETH,No Protection,8,100,285986.8695063104
ETH,No Protection,9,2,103720.26232230847
ETH,No Protection,9,5,168133.28163262017
ETH,No Protection,9,10,210779.91537136713
ETH,No Protection,9,25,264664.6036077012
ETH,No Protection,9,50,304638.91603654117
ETH,No Protection,9,100,344318.4140820303
ETH,No Protection,10,2,90982.8420243003
ETH,No Protection,10,5,133169.8597555118
ETH,No Protection,10,10,161101.08100514172
ETH,No Protection,10,25,196392.61558009544
ETH,No Protection,10,50,222573.61198866606
ETH,No Protection,10,100,248561.52104081388
ETH,No Protection,11,2,85824.79107997457
ETH,No Protection,11,5,132736.03044970587
ETH,No Protection,11,10,163795.06890268746
ETH,No Protection,11,25,203038.6493974981
ETH,No Protection,11,50,232151.46787842803
ETH,No Protection,11,100,261049.5765343087
ETH,No Protection,12,2,81379.4224730699
ETH,No Protection,12,5,124094.3660894992
ETH,No Protection,12,10,152375.11701665632
ETH,No Protection,12,25,188108.28780182725
ETH,No Protection,12,50,214616.91167610168
ETH,No Protection,12,100,240930.03191000992
ETH,No Protection,13,2,94165.15883648119
ETH,No Protection,13,5,154908.6658676864
ETH,No Protection,13,10,195125.78538954834
ETH,No Protection,13,25,245940.74444292823
ETH,No Protection,13,50,283637.78075776086
ETH,No Protection,13,100,321056.79781872645
ETH,No Protection,14,2,91140.90266995337
ETH,No Protection,14,5,140493.20335274652
ETH,No Protection,14,10,173168.42202622755
ETH,No Protection,14,25,214454.07148828285
ETH,No Protection,14,50,245081.79718255415
ETH,No Protection,14,100,275483.640465963
ETH,No Protection,15,2,94165.15883648119
ETH,No Protection,15,5,154908.6658676864
ETH,No Protection,15,10,195125.78538954834
ETH,No Protection,15,25,245940.74444292823
ETH,No Protection,15,50,283637.78075776086
ETH,No Protection,15,100,321056.79781872645
ETH,No Protection,16,2,101634.78953952654
ETH,No Protection,16,5,165429.26135429103
ETH,No Protection,16,10,207666.3665726384
ETH,No Protection,16,25,261033.60912308778
ETH,No Protection,16,50,300624.0548879547
ETH,No Protection,16,100,339922.51732288866
ETH,No Protection,17,2,97931.45850926496
ETH,No Protection,17,5,161847.45202593956
ETH,No Protection,17,10,204165.01444949422
ETH,No Protection,17,25,257633.91593615693
ETH,No Protection,17,50,297299.7773007125
ETH,No Protection,17,100,336673.09913806315
ETH,No Protection,18,2,90280.25020647018
ETH,No Protection,18,5,145911.61056468848
ETH,No Protection,18,10,182744.07510350537
ETH,No Protection,18,25,229282.46968836934
ETH,No Protection,18,50,263806.9401077337
ETH,No Protection,18,100,298076.7892506141
ETH,No Protection,19,2,72809.8889083942
ETH,No Protection,19,5,114782.7230039134
ETH,No Protection,19,10,142572.1373461509
ETH,No Protection,19,25,177684.4966773701
ETH,No Protection,19,50,203732.57207615135
ETH,No Protection,19,100,229588.54042368967
SDN,FLOPROS,0,2,224161.6873648843
SDN,FLOPROS,0,5,532617.2244690434
SDN,FLOPROS,0,10,736839.7629623396
SDN,FLOPROS,0,25,994878.1320621681
SDN,FLOPROS,0,50,1186303.6876816885
SDN,FLOPROS,0,100,1376317.4614916272
SDN,FLOPROS,1,2,184909.8020505912
SDN,FLOPROS,1,5,439110.40531402867
SDN,FLOPROS,1,10,607411.7850602327
SDN,FLOPROS,1,25,820063.2086854806
SDN,FLOPROS,1,50,977818.4954777197
SDN,FLOPROS,1,100,1134410.3219182945
SDN,FLOPROS,2,2,213539.19172384968
SDN,FLOPROS,2,5,507243.12195341126
SDN,FLOPROS,2,10,701698.9023879335
SDN,FLOPROS,2,25,947396.8200396894
SDN,FLOPROS,2,50,1129667.6217236465
SDN,FLOPROS,2,100,1310594.158785242
SDN,FLOPROS,3,2,204031.0073106047
SDN,FLOPROS,3,5,484607.98004511546
SDN,FLOPROS,3,10,670372.6518436865
SDN,FLOPROS,3,25,905089.2179040076
SDN,FLOPROS,3,50,1079213.5127828836
SDN,FLOPROS,3,100,1252053.6243074492
SDN,FLOPROS,4,2,216410.81459414432
SDN,FLOPROS,4,5,514014.0636344143
SDN,FLOPROS,4,10,711051.5088151543
SDN,FLOPROS,4,25,960011.4002215774
SDN,FLOPROS,4,50,1144702.0944997317
SDN,FLOPROS,4,100,1328030.6772158376
SDN,FLOPROS,5,2,184909.8020505912
SDN,FLOPROS,5,5,439110.40531402867
SDN,FLOPROS,5,10,607411.7850602327
SDN,FLOPROS,5,25,820063.2086854806
SDN,FLOPROS,5,50,977818.4954777197
SDN,FLOPROS,5,100,1134410.3219182945
SDN,FLOPROS,6,2,224161.6873648843
SDN,FLOPROS,6,5,532617.2244690434
SDN,FLOPROS,6,10,736839.7629623396
SDN,FLOPROS,6,25,994878.1320621681
SDN,FLOPROS,6,50,1186303.6876816885
SDN,FLOPROS,6,100,1376317.4614916272
SDN,FLOPROS,7,2,220779.92301049936
SDN,FLOPROS,7,5,523368.0610006675
SDN,FLOPROS,7,10,723705.9062488298
SDN,FLOPROS,7,25,976835.9047210927
SDN,FLOPROS,7,50,1164620.1895565584
SDN,FLOPROS,7,100,1351019.5473032768
SDN,FLOPROS,8,2,242741.6876467234
SDN,FLOPROS,8,5,576374.3452599727
SDN,FLOPROS,8,10,797266.1759001683
SDN,FLOPROS,8,25,1076366.4561454002
SDN,FLOPROS,8,50,1283416.7735299354
SDN,FLOPROS,8,100,1488940.074990157
SDN,FLOPROS,9,2,236465.78935261435
SDN,FLOPROS,9,5,561701.5122393727
SDN,FLOPROS,9,10,777033.8922647218
SDN,FLOPROS,9,25,1049109.719771633
SDN,FLOPROS,9,50,1250948.9525680623
SDN,FLOPROS,9,100,1451299.6016881918
SDN,FLOPROS,10,2,218358.4039064305
SDN,FLOPROS,10,5,518111.21392176603
SDN,FLOPROS,10,10,716571.8424990347
SDN,FLOPROS,10,25,967329.9483693441
SDN,FLOPROS,10,50,1153354.64659456
SDN,FLOPROS,10,100,1338007.3948508322
SDN,FLOPROS,11,2,213539.19172384968
SDN,FLOPROS,11,5,507243.12195341126
SDN,FLOPROS,11,10,701698.9023879335
SDN,FLOPROS,11,25,947396.8200396894
SDN,FLOPROS,11,50,1129667.6217236465
SDN,FLOPROS,11,100,1310594.158785242
SDN,FLOPROS,12,2,232712.21832283345
SDN,FLOPROS,12,5,552887.1572943798
SDN,FLOPROS,12,10,764868.8886407211
SDN,FLOPROS,12,25,1032711.1191757389
SDN,FLOPROS,12,50,1231409.6614793513
SDN,FLOPROS,12,100,1428642.7829998988
SDN,FLOPROS,13,2,216411.76562416155
SDN,FLOPROS,13,5,514016.32557701087
SDN,FLOPROS,13,10,711054.6386880114
SDN,FLOPROS,13,25,960015.6267378833
SDN,FLOPROS,13,50,1144707.134560094
SDN,FLOPROS,13,100,1328036.5248202912
SDN,FLOPROS,14,2,246169.56266966742
SDN,FLOPROS,14,5,583699.5066507555
SDN,FLOPROS,14,10,807171.6563954401
SDN,FLOPROS,14,25,1089532.2101559842
SDN,FLOPROS,14,50,1299001.158813525
SDN,FLOPROS,14,100,1506925.2539094305
SDN,FLOPROS,15,2,197735.09977067367
SDN,FLOPROS,15,5,469642.01141690434
SDN,FLOPROS,15,10,649666.4008364865
SDN,FLOPROS,15,25,877130.0303983449
SDN,FLOPROS,15,50,1045873.7401962705
SDN,FLOPROS,15,100,1213372.9489702706
SDN,FLOPROS,16,2,205868.7127802176
SDN,FLOPROS,16,5,488588.64198768086
SDN,FLOPROS,16,10,675772.1244676735
SDN,FLOPROS,16,25,912281.3799980035
SDN,FLOPROS,16,50,1087735.5801116973
SDN,FLOPROS,16,100,1261895.7886925808
SDN,FLOPROS,17,2,224161.6873648843
SDN,FLOPROS,17,5,532617.2244690434
SDN,FLOPROS,17,10,736839.7629623396
SDN,FLOPROS,17,25,994878.1320621681
SDN,FLOPROS,17,50,1186303.6876816885
SDN,FLOPROS,17,100,1376317.4614916272
SDN,FLOPROS,18,2,197735.09977067367
SDN,FLOPROS,18,5,469642.01141690434
SDN,FLOPROS,18,10,649666.4008364865
SDN,FLOPROS,18,25,877130.0303983449
SDN,FLOPROS,18,50,1045873.7401962705
SDN,FLOPROS,18,100,1213372.9489702706
SDN,FLOPROS,19,2,205868.7127802176
SDN,FLOPROS,19,5,488588.64198768086
SDN,FLOPROS,19,10,675772.1244676735
SDN,FLOPROS,19,25,912281.3799980035
SDN,FLOPROS,19,50,1087735.5801116973
SDN,FLOPROS,19,100,1261895.7886925808
SDN,No Protection,0,2,100458.30554785143
SDN,No Protection,0,5,183697.89197860286
SDN,No Protection,0,10,238809.2373725415
SDN,No Protection,0,25,308443.28359127505
SDN,No Protection,0,50,360101.2445137435
SDN,No Protection,0,100,411378.22302602965
SDN,No Protection,1,2,92807.03943603819
SDN,No Protection,1,5,160551.35029464067
